keys,en,pl,zh_CN
LOADING_STEP_PRELOADING,Taking ammunition out of depot...,Wyciąganie amunicji z magazynów...,正在从仓库取出弹药...
LOADING_STEP_LOADING_MAP,Creating map...,Tworzenie mapy...,正在生成地图...
LOADING_STEP_LOADING_MATCH,Preparing a ground for combat...,Przygotowywanie ziemi do walki...,正在准备战场...
LOADING_STEP_INSTANTIATING_MATCH,Setting up a camera...,Ustawianie kamery...,正在设置镜头...
LOADING_STEP_STARTING_MATCH,Placing units in the field...,Rozmieszczanie jednostek...,正在部署单位...
BLUEPRINT_COLLIDES_WITH_OBJECT,Something already ocuppies that spot,Inny obiekt jest zbyt blisko,该位置已被占用
BLUEPRINT_NOT_NAVIGABLE,Irregular terrain,Nierówny teren,地形不平整
BLUEPRINT_NOT_ENOUGH_RESOURCES,Not enough resources,Brakuje zasobów,资源不足
NOT_ENOUGH_RESOURCES,Not enough resources,Brakuje zasobów,资源不足
BLUEPRINT_OUT_OF_MAP,Out of map limits,Poza granicami mapy,超出地图边界
BLUEPRINT_MISSING_TECH,Requires {0},Wymaga {0},需要 {0}
BLUEPRINT_OUT_OF_BASE_RADIUS,Too far from base,Zbyt daleko od bazy,距离基地太远
REQUIRES,Requires,Wymaga,需要
MISSING_TECH,Missing tech,Brak technologii,缺少科技
MAP_NAME_PLAIN_AND_SIMPLE,Plain & Simple,Prosto i zwyczajnie,简明战场
MAP_NAME_FOUR_CORNERS,Four Corners,Cztery narożniki,四角战场
MAP_NAME_TECH_DIVIDE,Tech Divide,Podział technologiczny,科技分界线
MAP_NAME_BIG_ARENA,Big Arena,Wielka arena,大型竞技场
RESOURCE_A,Blue Crystal,Niebieski Kryształ,蓝水晶
RESOURCE_B,Red Crystal,Czerwony Kryształ,红水晶
RESOURCE_CAPACITY,capacity,pojemność,容量
RESOURCE_CAP,cap,limit,上限
POWER,Power,Energia,电力
POWER_SHORT,PWR,ENE,电力
LOW_POWER_STATUS,LOW POWER,NISKA ENERGIA,低电力
LOW_POWER_EFFECTS,Low power slows production and disables radar/support powers,Niska energia spowalnia produkcję i wyłącza radar/wsparcie,低电力会减慢生产，并关闭雷达/支援能力
RADAR_OFFLINE,Radar offline,Radar wyłączony,雷达离线
RADAR_REQUIRES_UPLINK,Build Radar Uplink,Zbuduj łącze radarowe,建造雷达上行站
RADAR_LOW_POWER,Low power,Niski poziom energii,电力不足
REPAIR_RATE,HP/s,HP/s,HP/秒
COOLDOWN,Cooldown,Czas odnowienia,冷却
RADIUS,Radius,Promień,半径
DAMAGE,Damage,Obrażenia,伤害
IMPACT_DELAY,Impact delay,Opóźnienie uderzenia,打击延迟
HEALING,Healing,Leczenie,治疗
RESOURCE_BONUS,resource yield,wydajność zasobów,资源收益
RESOURCE_STEAL,resource steal,kradzież zasobów,资源窃取
SPEED,Speed,Szybkość,速度
DPS,DPS,DPS,DPS
SPLASH_RADIUS,Splash,Obszar,溅射
STRUCTURE_DAMAGE,Structure damage,Obrażenia budynków,建筑伤害
SHIELD_RADIUS,Shield radius,Promień tarczy,护盾半径
DAMAGE_TAKEN,Damage taken,Otrzymywane obrażenia,承受伤害
MINE_LIMIT,mines,miny,地雷
DURATION,Duration,Czas trwania,持续时间
SUPPORT_POWER_READY,Right-click the battlefield or minimap to target,Kliknij prawym przyciskiem pole bitwy lub minimapę aby wskazać cel,右键点击战场或小地图选择目标
SUPPORT_POWER_TARGETING,Targeting: right-click the battlefield or minimap,Wskazywanie celu: kliknij prawym przyciskiem pole bitwy lub minimapę,目标选择中：右键点击战场或小地图
SUPPORT_POWER_LOW_POWER,Low power disables support powers,Niski poziom energii wyłącza wsparcie,低电力会禁用支援能力
REFUND,Refund,Zwrot,返还
PRODUCTION_QUEUE_CANCEL,Click to cancel production,Kliknij aby anulować produkcję,点击取消生产
PRODUCTION_QUEUE_FULL,Production queue full,Kolejka produkcji pełna,生产队列已满
PRODUCTION_BATCH_QUEUE,Shift-click to queue up to 5,Shift-klik aby dodać do kolejki do 5,按住 Shift 点击最多排队 5 个
PRODUCTION_QUEUE_READY,READY,GOTOWE,就绪
PRODUCTION_QUEUE_WAITING,WAIT,OCZEK,等待
PRODUCTION_QUEUE_BLOCKED,Exit blocked: clear space around the factory,Wyjazd zablokowany: zwolnij miejsce przy fabryce,出口被堵：清理工厂周围空间
PRODUCTION_QUEUE_FULL_SHORT,FULL,PEŁ,满
COMMAND_TECH_LOCK_SHORT,TECH,TECH,科技
COMMAND_PANEL_ORDERS,Orders,Rozkazy,命令
COMMAND_PANEL_COMMANDS,Commands,Rozkazy,命令数
COMMAND_PANEL_QUEUE,Queue,Kolejka,队列
COMMAND_PANEL_PRODUCERS,Producers,Producenci,生产建筑
PRODUCTION_ROLES,Roles,Role,定位
PRODUCTION_USE,Use,Użycie,用法
